,Site,Bout,Date,Duration,SampRate,Stereo,BIO,ACI,NDSI,ADI,AEI,H,M
153,AR-2B,Bout_4,57I_0+1_20220331_154100.wav,300,24000,FALSE,53.43004792,8863.343156,0.638951792,2.394744,0.042487,0.889269579,1.72E-05
154,AR-2B,Bout_4,57I_0+1_20220331_164100.wav,300,24000,FALSE,57.092868,8624.888601,0.758713851,2.389318,0.073275,0.884826027,1.71E-05
155,AR-2B,Bout_4,57I_0+1_20220331_174100.wav,300,24000,FALSE,35.25151361,8762.645958,0.821937064,2.395206,0.039843,0.905541813,8.86E-06
156,AR-2B,Bout_4,57I_0+1_20220331_184100.wav,300,24000,FALSE,40.57625873,9112.837753,0.503452001,2.39252,0.058805,0.880793522,1.18E-05
157,AR-2B,Bout_4,57I_0+1_20220331_194100.wav,300,24000,FALSE,32.81287114,9039.503159,0.988280191,2.395193,0.039316,0.836288892,1.89E-05
158,AR-2B,Bout_4,57I_0+1_20220401_041400.wav,300,24000,FALSE,46.10534501,8966.797161,0.955438634,2.384605,0.092224,0.825174306,2.67E-05
159,AR-2B,Bout_4,57I_0+1_20220401_051400.wav,300,24000,FALSE,47.6948498,8986.49042,0.940363263,2.390695,0.068118,0.824968829,2.50E-05
160,AR-2B,Bout_4,57I_0+1_20220401_061400.wav,300,24000,FALSE,50.50578741,8996.740362,0.817917537,2.394433,0.047029,0.860841467,1.76E-05
161,AR-2B,Bout_4,57I_0+1_20220401_071400.wav,300,24000,FALSE,63.37526601,9200.400561,0.894837676,1.986758,0.473612,0.894271235,1.42E-05
162,AR-2B,Bout_4,57I_0+1_20220401_081400.wav,300,24000,FALSE,56.04757027,8782.545986,0.63578004,2.39418,0.047629,0.887351733,1.61E-05
163,AR-3A,Bout_4,MINI3_20220328_173900.wav,300,24000,FALSE,56.63762301,8794.072422,0.989100799,2.284182,0.258688,0.858938321,9.18E-06
164,AR-3A,Bout_4,MINI3_20220328_183900.wav,300,24000,FALSE,78.19836909,8853.644452,0.993352445,2.363316,0.145953,0.870468504,8.36E-06
165,AR-3A,Bout_4,MINI3_20220328_193900.wav,300,24000,FALSE,91.42508018,9794.194725,0.953196735,2.194469,0.323696,0.915420925,3.30E-06
166,AR-3A,Bout_4,MINI3_20220328_203900.wav,300,24000,FALSE,73.3490987,10754.73442,0.997830962,2.228443,0.307594,0.82627034,3.19E-06
167,AR-3A,Bout_4,MINI3_20220329_051800.wav,300,24000,FALSE,43.47929212,8997.053286,0.019083972,2.260918,0.260481,0.775588046,3.45E-06
168,AR-3A,Bout_4,MINI3_20220329_061800.wav,300,24000,FALSE,48.77511457,9270.978525,-0.293338711,2.022323,0.458798,0.782839979,3.84E-06
